Sl No,Flight Name,Flight Number,Paytm Price
1,Alliance Air,832,2714
2,Alliance Air,714,3659
3,IndiGo,2193,4289
4,Vistara,638,4342
5,Vistara,707,5302
6,IndiGo,6052,5654
7,IndiGo,2195,6704
8,IndiGo,6828,7229
9,Alliance Air,806,7649
10,Vistara,658,27206
11,Vistara,658,27258
12,Vistara,658,27311
13,Vistara,658,27311
14,Vistara,654,31952
15,Vistara,654,32057
16,Vistara,652,32424
17,Vistara,652,32424
18,Vistara,652,32424
19,Vistara,658,32587
20,Vistara,652,33422
21,Vistara,652,33422
22,Vistara,652,33422
23,Vistara,652,33422
24,Vistara,654,33999
25,Vistara,654,33999
26,Vistara,654,33999
27,Vistara,654,34052
28,Vistara,654,34052
29,Vistara,652,34524
30,Vistara,654,37307
31,Vistara,652,37674
32,Vistara,652,37674
33,Vistara,652,37674
34,Vistara,652,37674
35,Vistara,652,37674
36,Vistara,652,37674